t x y z Vx Vy Vz
12120 -3144014.76819 -1582579.55804 5785854.93253 3283.13774612 -6935.50825304 -103.072007231
12180 -2939933.09511 -1994755.88225 5766314.93224 3516.9720618 -6798.42009963 -548.007245569
12240 -2722302.20785 -2397762.79471 5720145.08778 3734.60453272 -6629.97807278 -990.391625476
12300 -2492124.71403 -2789741.55217 5647559.83803 3935.0315074 -6430.95580975 -1428.18168711
12360 -2250461.07993 -3168884.09343 5548895.63299 4117.32857695 -6202.26816457 -1859.35534493
12420 -1998424.78038 -3533441.36191 5424609.40362 4280.65373586 -5944.96646184 -2281.9198847
12480 -1737177.24659 -3881731.39237 5275276.57045 4424.25117994 -5660.23526691 -2693.91979969
12540 -1467922.55405 -4212147.20497 5101588.53215 4547.45604328 -5349.38875079 -3093.4464102
12600 -1191901.83057 -4523164.41382 4904349.53703 4649.69872305 -5013.86465896 -3478.6484699
12660 -910387.447004 -4813348.41023 4684472.94225 4730.50774908 -4655.21647169 -3847.74170713
12720 -624677.071603 -5081361.07 4442976.94811 4789.51161539 -4275.10561922 -4199.01690998
12780 -336087.623951 -5325967.00957 4180979.86003 4826.44037382 -3875.2941068 -4530.84780284
12840 -45949.1398133 -5546039.38409 3899694.86802 4841.12692969 -3457.63643899 -4841.69916966
12900 244401.422246 -5740565.16888 3600424.35603 4833.50767775 -3024.07058471 -5130.134203
12960 533626.401316 -5908649.89671 3284553.80924 4803.62290591 -2576.60905799 -5394.82064354
13020 820393.690003 -6049521.87465 2953545.35896 4751.61760381 -2117.33035655 -5634.53701439
13080 1103383.03881 -6162535.86048 2608930.91919 4677.74202952 -1648.36917802 -5848.17998986
13140 1381292.34547 -6247176.08169 2252304.8756 4582.35039873 -1171.90431657 -6034.77153486
13200 1652843.79297 -6303058.49305 1885316.41544 4465.89728457 -690.145854778 -6193.46344819
13260 1916789.74417 -6329932.31503 1509661.67346 4328.9335114 -205.32432556 -6323.53921567
13320 2171918.42754 -6327680.99439 1127075.78682 4172.10346716 280.317993907 -6424.41566999
13380 2417059.50089 -6296322.64166 739324.805109 3996.14343668 764.536318405 -6495.64619878
13440 2651089.49197 -6236009.84375 348197.388328 3801.87881725 1245.09499982 -6536.92417869
13500 2872937.00657 -6147028.7335 -44503.6442609 3590.2191858 1719.7801963 -6548.08422661
13560 3081587.6035 -6029797.33671 -436969.762789 3362.1524504 2186.41096863 -6529.10108707
13620 3276088.33305 -5884863.31724 -827395.086579 3118.73961559 2642.84844059 -6480.08813809
13680 3455551.97875 -5712901.18593 -1213984.6767 2861.10994091 3087.00484233 -6401.29661938
13740 3619160.98898 -5514708.94054 -1594962.77788 2590.45528442 3516.85338137 -6293.11440811
13800 3766171.03864 -5291204.11674 -1968580.93517 2308.02357451 3930.43770328 -6156.06298188
13860 3895914.20411 -5043419.31952 -2333125.88498 2015.11266599 4325.87969076 -5990.79320326
13920 4007801.80032 -4772497.32162 -2686927.20063 1713.06516798 4701.38637819 -5798.08156542
13980 4101326.91207 -4479685.73185 -3028364.73659 1403.26316 5055.25754849 -5578.82707647
14040 4176066.57146 -4166331.18465 -3355875.86924 1087.12159286 5385.89388201 -5334.04732885
14100 4231683.50717 -3833873.06662 -3667962.45155 766.080839291 5691.80395308 -5064.87290953
14160 4267927.4602 -3483836.88319 -3963197.40365 441.599922523 5971.60928341 -4772.54111848
14220 4284636.13149 -3117827.35328 -4240230.94101 115.150947073 6224.04865107 -4458.39028624
14280 4281735.80742 -2737521.22995 -4497796.47964 -211.786298939 6447.98302697 -4123.85453744
14340 4259241.63858 -2344659.8096 -4734716.21232 -537.7305753 6642.4008219 -3770.45789744
14400 4217257.52464 -1941041.15001 -4949906.30001 -861.205927723 6806.42217601 -3399.80742054
14460 4155975.60494 -1528512.07032 -5142381.63978 -1180.74796945 6939.30202155 -3013.5860993
14520 4075675.39311 -1108959.98151 -5311260.21642 -1494.90953316 7040.43285037 -2613.54608122
14580 3976722.57448 -684304.542605 -5455767.0469 -1802.2663925 7109.34774357 -2201.50175489
14640 3859567.44477 -256489.14063 -5575237.69018 -2101.42350132 7145.72305176 -1779.32213607
14700 3724742.96671 172527.758758 -5669121.28197 -2391.0213769 7149.37996691 -1348.92273282
14760 3572862.45503 600781.323385 -5736983.07976 -2669.74204242 7120.28514058 -912.257424287
14820 3404616.92197 1026309.09195 -5778506.52435 -2936.31442507 7058.55099775 -471.310426647
14880 3220772.10847 1447159.72723 -5793494.81438 -3189.51949023 6964.43591993 -28.0880537843
14940 3022165.20848 1861401.76869 -5781871.97871 -3428.19536868 6838.34398944 415.389751917
15000 2809701.28167 2267132.35188 -5743683.43948 -3651.24264067 6680.82413947 857.097903575
15060 2584349.34143 2662485.86038 -5679096.06439 -3857.62987638 6492.56875153 1295.0147651
15120 2347138.10661 3045642.47265 -5588397.69062 -4046.39923384 6274.41149908 1727.13121263
15180 2099151.42958 3414836.54867 -5471996.09086 -4216.67154471 6027.32413486 2151.46010688
15240 1841523.44643 3768364.79557 -5330417.37207 -4367.65047375 5752.41243108 2566.04562965
15300 1575433.50034 4104594.1797 -5164303.82665 -4498.62601368 5450.91186976 2968.9722224
15360 1302100.85983 4421969.57677 -4974411.25059 -4608.97791026 5124.18315166 3358.37349931
15420 1022779.22894 4719021.13058 -4761605.71944 -4698.17912689 4773.7068461 3732.44138375
15480 738751.059412 4994371.25294 -4526859.82084 -4765.79889326 4401.07680836 4089.43496079
15540 451321.699949 5246741.20675 -4271248.38057 -4811.50510971 4007.99303751 4427.68847039
15600 161813.411437 5474957.26635 -3995943.72766 -4835.06650359 3596.25479404 4745.6188377
15660 -128440.750039 5677956.46728 -3702210.49573 -4836.35488023 3167.7536206 5041.7337395
15720 -418103.179365 5854791.90362 -3391399.91644 -4815.34704921 2724.46505532 5314.6403686
15780 -705838.054524 6004637.47388 -3064943.59174 -4772.12566489 2268.43858801 5563.05382049
15840 -990317.680622 6126791.99196 -2724346.80244 -4706.87883347 1801.78675147 5785.80407036
15900 -1270228.78621 6220682.64524 -2371181.44028 -4619.89901855 1326.674367 5981.84166138
15960 -1544278.74376 6285867.8155 -2007078.61882 -4511.58161936 845.307990442 6150.24281364
16020 -1811201.69146 6322039.26121 -1633720.9894 -4382.42304968 359.925136227 6290.21410718
16080 -2069764.51967 6329023.64697 -1252834.79784 -4233.0181602 -127.216653343 6401.09638794
16140 -2318772.68913 6306783.42099 -866181.73156 -4064.05727221 -613.850585765 6482.36790589
16200 -2557075.86604 6255417.04559 -475550.591566 -3876.32302829 -1097.71150942 6533.64705208
16260 -2783573.35509 6175158.55655 -82748.8140048 -3670.68671725 -1576.54743431 6554.69454491
16320 -2997219.28514 6066376.41792 310406.10477 -3448.10368583 -2048.13134167 6545.41434438
16380 -3197027.4982 5929571.68746 702095.192519 -3209.60815273 -2510.27217986 6505.85312216
16440 -3382076.12731 5765375.56059 1090506.5307 -2956.30810742 -2960.82464197 6436.19915347
16500 -3551511.87409 5574546.34383 1473843.72204 -2689.38032429 -3397.69860335 6336.78139633
16560 -3704553.97381 5357965.84865 1850334.30063 -2410.06481592 -3818.86904909 6208.06833791
16620 -3840497.8011 5116635.18266 2218238.042 -2119.65843326 -4222.38607315 6050.66571228
16680 -3958718.07956 4851669.96141 2575855.09934 -1819.5081971 -4606.384119 5865.3130802
16740 -4058671.69798 4564294.98689 2921533.91719 -1511.00486319 -4969.09063089 5652.87991243
16800 -4139900.13867 4255838.40667 3253678.89577 -1195.57629823 -5308.83476841 5414.36108038
16860 -4202031.48649 3927725.3576 3570757.74555 -874.680102922 -5624.05564359 5150.87092431
16920 -4244781.98307 3581471.16884 3871308.44199 -549.7960221 -5913.30855671 4863.63603965
16980 -4267957.1504 3218674.26232 4153945.74974 -222.419340743 -6175.2690184 4553.98846573
17040 -4271452.55609 2841008.83172 4417367.38625 105.94457806 -6408.73653333 4223.36050653
17100 -4255254.25501 2450217.25034 4660359.90216 433.785868047 -6612.63997465 3873.28012291
17160 -4219438.86457 2048102.12006 4881804.24825 759.596844268 -6786.04384869 3505.36482197
17220 -4164173.21517 1636517.97232 5080680.91549 1081.87929493 -6928.15332882 3121.31369549
17280 -4089713.57128 1217362.72509 5256074.57968 1399.15140658 -7038.31746758 2722.89915713
17340 -3996404.44815 792568.970507 5407178.26862 1709.95443574 -7116.03187301 2311.95925686
17400 -3884677.01627 364095.097757 5533297.06235 2012.85985635 -7160.94144562 1890.38955192
17460 -3755047.06723 -66083.7210607 5633851.26567 2306.4766459 -7172.84193944 1460.1336631
